"","Juniperus_oxycedrus","Clematis_flammula","Silene_canescens","Salsola_kali","Polygonum_maritimum","Phillyrea_angustifolia","Helichrysum_stoechas","Otanthus_maritimus","Centaurea_sphaerocephala","Sonchus_bulbosus","Anthemis_maritima","Pycnocomon_rutifolium","Lonicera_implexa","Eryngium_maritimum","Echinophora_spinosa","Pseudorlaya_pumila","Rubia_peregrina","Crucianella_maritima","Prasium_majus","Plantago_coronopus","Calystegia_soldanella","Lotus_cytisoides","Ononis_variegata","Medicago_littoralis","Medicago_marina","Quercus_ilex","Euphorbia_terracina","Chamaesyce_peplis","Pistacia_lentiscus","Daphne_gnidium","Cakile_maritima","Smilax_aspera","Pancratium_maritimum","Asparagus_acutifolius","Cyperus_kalli","Lophocloa_pubescens","Lagurus_ovatus","Sporobolus_virginicus","Bromus_diandrus","Cutandia_maritima","Ammophila_arenaria","Vulpia_fasciculata","Elymus_farctus"
"Calystegia_soldanella",0.707302105,0.572184099,0.479807866,0.661080955,0.662122995,0.661471923,0.574619977,0.637070307,0.422517437,0.467003229,0.643465445,0.695575586,0.670430647,0.308525935,0.644004206,0.698853915,0.611434075,0.60410568,0.567165399,0.707799458,0,0.641022523,0.622722977,0.627762658,0.582002616,0.57877513,0.69318309,0.190228428,0.314730826,0.685024257,0.436765421,0.642449994,0.580911595,0.508506871,0.174694033,0.102038954,0.682882924,0.653137822,0.316865375,0.665389709,0.697521648,0.395889841,0.723997779
"Lotus_cytisoides",0.630655293,0.638053183,0.71991849,0.266598006,0.451276021,0.689590635,0.651938807,0.529173674,0.678071409,0.637801126,0.650558509,0.255100941,0.58953041,0.666986778,0.70733013,0.619655554,0.606528357,0.464729513,0.676560227,0.287150759,0.641022523,0,0.627547981,0.457782504,0.665261729,0.695718282,0.740063438,0.633806349,0.58623814,0.450474624,0.672669899,0.363820481,0.697527633,0.670992351,0.629958865,0.640049728,0.473424674,0.457324883,0.719660418,0.627970386,0.666330471,0.689910174,0.29969578
"Ononis_variegata",0.685132964,0.632464112,0.689323981,0.646981996,0.532448763,0.560551616,0.589868751,0.542442371,0.470835433,0.500746013,0.586046785,0.637215744,0.67194122,0.605111898,0.765286636,0.668254785,0.65592971,0.518164279,0.332017049,0.648841315,0.622722977,0.627547981,0,0.535371027,0.474863389,0.463616378,0.576117792,0.6288815,0.653972666,0.575562928,0.469662876,0.577288786,0.600701711,0.774675878,0.617064944,0.627643867,0.675440135,0.449299457,0.724920316,0.579268381,0.761093775,0.625051378,0.6779735
"Medicago_littoralis",0.758023145,0.681764814,0.774980067,0.463021553,0.485904599,0.626687931,0.638256946,0.437007392,0.611458453,0.571861262,0.717449554,0.530756,0.758480683,0.603353367,0.762643812,0.740537092,0.659854327,0.301656282,0.61493533,0.547247065,0.627762658,0.457782504,0.535371027,0,0.602872614,0.694270139,0.739822774,0.633932635,0.664819732,0.486588071,0.641664681,0.311171614,0.696494364,0.756015005,0.621630113,0.613968437,0.612362897,0.40592196,0.719593961,0.469463873,0.775847002,0.685314613,0.571364455
"Medicago_marina",0.591134117,0.649487015,0.684989561,0.680406916,0.693318969,0.647326233,0.607326091,0.699985089,0.563587238,0.622307485,0.565238715,0.715946675,0.651787995,0.557126373,0.634712588,0.576325657,0.698336885,0.591852099,0.426756694,0.730445237,0.582002616,0.665261729,0.474863389,0.602872614,0,0.540045065,0.656240444,0.577107969,0.613955619,0.713383865,0.569731296,0.619343781,0.669224983,0.727653408,0.572279665,0.590060962,0.762433901,0.640129528,0.593196027,0.526842145,0.69717252,0.450465555,0.735489344
"Quercus_ilex",0.648723692,0.488889721,0.621676031,0.701717778,0.562197847,0.552615341,0.558576906,0.530805901,0.558363047,0.612407212,0.502551522,0.694683624,0.606394472,0.567621065,0.615105229,0.63998777,0.657525295,0.693748726,0.294002821,0.698081268,0.57877513,0.695718282,0.463616378,0.694270139,0.540045065,0,0.509630461,0.62141954,0.661900321,0.59850965,0.47813097,0.692259793,0.393165555,0.745882357,0.614673498,0.585363144,0.632738398,0.631096444,0.637703079,0.707355383,0.662999851,0.576338424,0.722220092
"Euphorbia_terracina",0.646358871,0.63851989,0.632520669,0.753758979,0.603727476,0.448133038,0.676226358,0.562083252,0.685995548,0.629083792,0.616089899,0.742445881,0.568196288,0.684731674,0.60898851,0.641990736,0.610218856,0.720830101,0.589375944,0.746395568,0.69318309,0.740063438,0.576117792,0.739822774,0.656240444,0.509630461,0,0.742445751,0.755157488,0.632515652,0.692674666,0.728729959,0.571805025,0.849619413,0.735303209,0.705364217,0.637821805,0.66012814,0.648372133,0.631656962,0.651190988,0.66206222,0.777631931
"Chamaesyce_peplis",0.677458877,0.601014933,0.55142223,0.64737428,0.65591782,0.694176905,0.623716997,0.66708571,0.418282661,0.495577035,0.695043104,0.68506726,0.687833796,0.410556797,0.674843954,0.679694376,0.650142154,0.613381734,0.593970242,0.694230216,0.190228428,0.633806349,0.6288815,0.633932635,0.577107969,0.62141954,0.742445751,0,0.278786902,0.678556644,0.432180039,0.634600395,0.622135247,0.430367835,0.061598464,0.202387803,0.730798334,0.656986868,0.396985598,0.657762679,0.737272265,0.439729237,0.707414303
"Pistacia_lentiscus",0.6383424,0.641373761,0.471759669,0.610432249,0.685290862,0.713785903,0.659841554,0.688331165,0.472765218,0.542842732,0.722833838,0.645311678,0.636492195,0.475916279,0.706554686,0.636916819,0.672059054,0.635331303,0.63655594,0.660544632,0.314730826,0.58623814,0.653972666,0.664819732,0.613955619,0.661900321,0.755157488,0.278786902,0,0.630203587,0.496320288,0.587257113,0.662891095,0.382833059,0.282214257,0.334598388,0.680673149,0.677131001,0.470294348,0.698804782,0.698118988,0.495033683,0.6691415
"Daphne_gnidium",0.681903743,0.629055369,0.674652094,0.471509307,0.359915447,0.523619484,0.694848374,0.2946263,0.626498755,0.635231785,0.711119763,0.452413139,0.629983795,0.713842926,0.723524355,0.674602774,0.686957121,0.528853926,0.636088663,0.457871347,0.685024257,0.450474624,0.575562928,0.486588071,0.713383865,0.59850965,0.632515652,0.678556644,0.630203587,0,0.632217599,0.359187878,0.598220862,0.726434488,0.672841081,0.697221377,0.441957517,0.447046281,0.760490197,0.646668257,0.723153676,0.726234517,0.500841727
"Cakile_maritima",0.697811147,0.59666299,0.549005075,0.682334521,0.592188592,0.628611985,0.611172195,0.607872444,0.411947926,0.565896497,0.535630502,0.679420321,0.642558823,0.564067043,0.747200524,0.683870749,0.708464909,0.64018093,0.435868964,0.687845695,0.436765421,0.672669899,0.469662876,0.641664681,0.569731296,0.47813097,0.692674666,0.432180039,0.496320288,0.632217599,0,0.676642109,0.555305724,0.626976593,0.416119753,0.427597657,0.729875652,0.586780741,0.572503306,0.678387738,0.73356538,0.443909608,0.716375236
"Smilax_aspera",0.675723412,0.677503122,0.723836369,0.376347785,0.503601207,0.636427049,0.646276945,0.464957512,0.632317291,0.585995756,0.747145338,0.440803245,0.678786479,0.621074989,0.725349541,0.667473024,0.641613128,0.398379484,0.631646765,0.447234626,0.642449994,0.363820481,0.577288786,0.311171614,0.619343781,0.692259793,0.728729959,0.634600395,0.587257113,0.359187878,0.676642109,0,0.691939944,0.675216495,0.628345725,0.64831484,0.519101908,0.453328191,0.719987308,0.521884663,0.714074494,0.687736644,0.484603096
